Market Code,PID,Category,Sub Category,Tertiary Category,Description,Comments,Brand,Brand Type,Pack Description,No. Packs in a Case,No. Units in a Single Pack,Unit Size,Unit Measure,Unit Name,Tax Rate,SKU,Price,Price List, Units per Case, Converted To,Unit Price,Supplier Description,SplitMultipleRule,PackSize,UnitSizeMultiple,UnitsPerCase
,809748,"Food","Baking Ingredients","Culinary Nuts & Seeds","Pistachio Nuts : Green Peeled",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg",,0%,"AFR500","32.81","IHG - Entegra - P15","1.0000000","kg","32.81",,"1.0000","1","1.000","1.0000000",
,834632,"Food","Ice Cream, Lollies & Fzn Fruit","Frozen Fruit","Blackberries : Whole",,,"Standard","5 x 1 kg",5.0000,1,"1.000","kg",,0%,"FRU300","36.67","IHG - Entegra - P15","5.0000000","kg","7.334",,"5.0000","1","1.000","5.0000000",
,834889,"Food","Baking Ingredients","Stabilizers / Emulsifier","Gelatine : Leaves",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg",,0%,"LOU730H","42.75","IHG - Entegra - P15","1.0000000","kg","42.75",,"1.0000","1","1.000","1.0000000",
,834891,"Food","Baking Ingredients","Chocolate Products","Araguani : 72% : from Venezula",,"Own","Standard","1 x 3kg",1.0000,1,"3.000","kg","bag",0%,"VAL4656","56.42","IHG - Entegra - P15","3.0000000","kg","56.42",,"1.0000","1","3.000","3.0000000",
,836937,"Food","Oil","Rapeseed Oil","Rapeseed Oil : & Coffee Beans",,"Own","Standard","1 x 250 ml",1.0000,1,"250.000","ml",,0%,"HUI705","5.30","IHG - Entegra - P15","0.2500000","ltr","5.3",,"1.0000","1","0.250","0.2500000",
,836938,"Food","Oil","Olive Oil","Olive Oil : & Ceps",,,,"1 x 250 ml",1.0000,1,"250.000","ml",,20%,"HUI715","5.11","IHG - Entegra - P15","0.2500000","ltr","5.11",,"1.0000","1","0.250","0.2500000",
,836939,"Food","Oil","Speciality Oil","Sweet : Almond Oil",,"Own","Standard","1 x 250 ml",1.0000,1,"250.000","ml",,0%,"HUI720","7.20","IHG - Entegra - P15","0.2500000","ltr","7.2",,"1.0000","1","0.250","0.2500000",
,836944,"Food","Oil","Speciality Oil","Turnip Seed Oil 'Navette'",,"Own",,"1 x 250ml",1.0000,1,"250.000","ml",,0%,"HUI770","4.16","IHG - Entegra - P15","0.2500000","ltr","4.16",,"1.0000","1","0.250","0.2500000",
,837405,"Food","Bakery (Frozen)","Morning Goods/Viennoiserie (Frozen)","Mini Croissant : ready to prove AOP butter",,,,"200 x 30 g",1.0000,200,"30.000","g",,0%,"BRI31800","51.20","IHG - Entegra - P15","6.0000000","kg","0.256",,"1.0000","200","0.030","6.0000000",
,865950,"Food","Bakery (Frozen)","Bread (Frozen)","Pain Pochon",,"Own","Standard","8 x 1.1 kg",1.0000,8,"1.100","kg",,0%,"BRI34673","34.57","IHG - Entegra - P15","8.8000000","kg","4.3213",,"1.0000","8","1.100","8.8000000",
,882528,"Food","Canned Meat","Other","Snail : Large : Helix Lucorum",,"Own","Standard","120 x 1 each",120.0000,1,"1.000","each",,0%,"SAB100","11.50","IHG - Entegra - P15","120.0000000","each","0.0958",,"120.0000","1","1.000","120.0000000",
,888453,"Food","Baking Ingredients","Chocolate Products","Hazelnut Praline : 50%",,,,"1 x 5 kg",1.0000,1,"5.000","kg",,0%,"VAL2257","88.89","IHG - Entegra - P15","5.0000000","kg","88.89",,"1.0000","1","5.000","5.0000000",
,977992,"Food","Baking Ingredients","Chocolate Products","Cocoa Butter : Strawberry : Coloured Red",,"Own","Standard","1 x 200 g",1.0000,1,"200.000","g",,0%,"PCB004456","17.82","IHG - Entegra - P15","0.2000000","kg","17.82",,"1.0000","1","0.200","0.2000000",
,979294,"Food","Fine Foods","Truffles/Truffle Oil","Summer Truffle : Whole",,"Own","Standard","1 x 200 g",1.0000,1,"200.000","g","tin",0%,"PLA8222","37.67","IHG - Entegra - P15","0.2000000","kg","37.67",,"1.0000","1","0.200","0.2000000",
,984200,"Food","Bakery (Frozen)","Bread (Frozen)","White Bread : 30x40cm",,"Own","Standard","4 x 5 each",1.0000,4,"5.000","each",,0%,"BON100","71.97","IHG - Entegra - P15","20.0000000","each","17.9925",,"1.0000","4","5.000","20.0000000",
,988662,"Food","Baking Ingredients","Chocolate Products","Eclat D'Or : Crushed Biscuits",,,,"4 kg",1.0000,1,"4.000","kg",,0%,"VAL8029","49.12","IHG - Entegra - P15","4.0000000","kg","49.12",,"1.0000","1","4.000","4.0000000",
,1017317,"Food","Baking Ingredients","Chocolate Products","Caramelia : 36%",,,,"1 x 3 kg",1.0000,1,"3.000","kg",,0%,"VAL7098","44.85","IHG - Entegra - P15","3.0000000","kg","44.85",,"1.0000","1","3.000","3.0000000",
,1050239,"Food","Bakery (Frozen)","Morning Goods/Viennoiserie (Frozen)","Butter Croissant : Large : AOP",,,"Standard","60 x 80 g",1.0000,60,"80.000","g",,0%,"BRI32562","20.30","IHG - Entegra - P15","4.8000000","kg","0.3383",,"1.0000","60","0.080","4.8000000",
,1052343,"Food","Baking Ingredients","Chocolate Products","MSK : Cocoa Butter : White Coloured",,"Own","Standard","1 x 200 g",1.0000,1,"200.000","g",,0%,"PCB004453","17.77","IHG - Entegra - P15","0.2000000","kg","17.77",,"1.0000","1","0.200","0.2000000",
,1078723,"Food","Baking Ingredients","Sundries","Staboline : Sugar Syrup : 815' invert",,,"Standard","1 x 7kg",1.0000,1,"7.000","kg",,0%,"CSM785","21.74","IHG - Entegra - P15","7.0000000","kg","21.74",,"1.0000","1","7.000","7.0000000",
,1086662,"Food","Baking Ingredients","Chocolate Products","Beans : White Chocolate : Ivoire",,,,"1 x 3kg",1.0000,1,"3.000","kg",,0%,"val4660","44.70","IHG - Entegra - P15","3.0000000","kg","44.7",,"1.0000","1","3.000","3.0000000",
,1092119,"Food","Dessert Sundries & Pie Fillings","Sweet Shells & Pastry Cases","Tart Shells : Mini Round : Vanilla 41 x 17mm",,,,"288 x 1 each",1.0000,288,"1.000","each",,0%,"CPA1000","65.33","IHG - Entegra - P15","288.0000000","each","0.2268",,"1.0000","288","1.000","288.0000000",
,1094361,"Food","Baking Ingredients","Savoury Pastry Shells","Savoury Tart Shell : Round : Large 80 x 20mm",,,,"72 x 1 each",1.0000,72,"1.000","each",,0%,"CPA2300","56.12","IHG - Entegra - P15","72.0000000","each","0.7794",,"1.0000","72","1.000","72.0000000",
,1108187,"Food","Dessert Sundries & Pie Fillings","Sweet Shells & Pastry Cases","Tart Shells : Mini Round : Chocolate",,,,"288 x 1 each",1.0000,288,"1.000","each",,0%,"CPA1800","62.49","IHG - Entegra - P15","288.0000000","each","0.217",,"1.0000","288","1.000","288.0000000",
,1129129,"Food","Baking Ingredients","Chocolate Products","Cocoa Butter : Black : Natural Coloured",,"Own","Standard","1 x 200 g",1.0000,1,"200.000","g",,0%,"PCB004611","23.80","IHG - Entegra - P15","0.2000000","kg","23.8",,"1.0000","1","0.200","0.2000000",
,1129964,"Food","Baking Ingredients","Chocolate Products","Kalingo Dark : 65%",,"Valrhona",,"1 x 3kg",1.0000,1,"3.000","kg",,0%,"VAL9789","46.11","IHG - Entegra - P15","3.0000000","kg","46.11",,"1.0000","1","3.000","3.0000000",
,1134888,"Food","Bakery (Frozen)","Morning Goods/Viennoiserie (Frozen)","Mini Croissant",,"Own","Standard","165 x 40 g",1.0000,165,"40.000","g",,0%,"BRI33250","33.67","IHG - Entegra - P15","6.6000000","kg","0.2041",,"1.0000","165","0.040","6.6000000",
,1145715,"Food","Cereal, Pulses & Potato","Beans","White Kidney Beans",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg","bag",0%,"SAB002161","3.60","IHG - Entegra - P15","1.0000000","kg","3.6",,"1.0000","1","1.000","1.0000000",
,1145718,"Food","Vegetables","Beans","Beans : White Coco",,,,"1 x 1 kg",1.0000,1,"1.000","kg",,0%,"SAB002253","3.07","IHG - Entegra - P15","1.0000000","kg","3.07",,"1.0000","1","1.000","1.0000000",
,1242156,"Food","Baking Ingredients","Chocolate Products","Cocoa Butter : Red Coloured",,"Own","Standard","1 x 200 g",1.0000,1,"200.000","g",,0%,"PCB004609","23.80","IHG - Entegra - P15","0.2000000","kg","23.8",,"1.0000","1","0.200","0.2000000",
,1337432,"Food","Bakery (Frozen)","Bread (Frozen)","Bread : 30x40cm : Countryside",,"Own","Standard","2 x 5 each",2.0000,1,"5.000","each",,0%,"BON110","36.36","IHG - Entegra - P15","10.0000000","each","18.18",,"2.0000","1","5.000","10.0000000",
,1394515,"Food","Baking Ingredients","Chocolate Products","Truffle Spheres : White Chocolate",,"Own","Standard","1 x 504 each",1.0000,1,"504.000","each",,0%,"VAL1734","43.20","IHG - Entegra - P15","504.0000000","each","43.2",,"1.0000","1","504.000","504.0000000",
,1404526,"Food","Confectionery","After Dinner Mints/Petit Fours","Truffles : Milk Chocolate : Spheres",,"Own",,"1 x 504 each",1.0000,1,"504.000","each",,20%,"VAL1733","42.24","IHG - Entegra - P15","504.0000000","each","42.24",,"1.0000","1","504.000","504.0000000",
,1446732,"Food","Baking Ingredients","Chocolate Products","Royal Miroip : Dark Chocolate : Glazing Paste",,,"Standard","1 x 2.5 kg",1.0000,1,"2.500","kg",,0%,"CSM30149","15.71","IHG - Entegra - P15","2.5000000","kg","15.71",,"1.0000","1","2.500","2.5000000",
,1514227,"Food","Bakery","Morning Goods / Viennoiserie","Almond : Croissant : Large",,,,"60 x 95 g",1.0000,60,"95.000","g",,0%,"BRI35417","50.32","IHG - Entegra - P15","5.7000000","kg","0.8387",,"1.0000","60","0.095","5.7000000",
